河南频道,#genre#
安多卫视,http://49.232.131.30:99/gdyh.php?id=G_ANDUO
内蒙古卫视,http://49.232.131.30:99/gdyh.php?id=G_NEIMENGGU
宁夏卫视,http://49.232.131.30:99/gdyh.php?id=G_NINGXIA
农林卫视,http://49.232.131.30:99/gdyh.php?id=G_NONGLIN
三沙卫视,http://49.232.131.30:99/gdyh.php?id=G_SANSHA-HQ
陕西卫视,http://49.232.131.30:99/gdyh.php?id=G_SHANXI-HQ
上海纪实,http://49.232.131.30:99/gdyh.php?id=G_SHANGHAIJS-HD
四川卫视,http://49.232.131.30:99/gdyh.php?id=G_SICHUAN-CQ
西藏卫视,http://49.232.131.30:99/gdyh.php?id=G_XIZANG
新疆卫视,http://49.232.131.30:99/gdyh.php?id=G_XINJIANG
延边卫视,http://49.232.131.30:99/gdyh.php?id=G_YANBIAN
云南卫视,http://49.232.131.30:99/gdyh.php?id=G_YUNNAN-CQ
北京纪实,http://49.232.131.30:99/gdyh.php?id=G_BEIJINGJS-CQ
家庭理财,http://49.232.131.30:99/gdyh.php?id=G_JIATINGLC
金鹰卡通,http://49.232.131.30:99/gdyh.php?id=G_JINYING
卡酷,http://49.232.131.30:99/gdyh.php?id=G_KAKU
女性时尚,http://49.232.131.30:99/gdyh.php?id=G_NVXINGSS-CQ
CETV1,http://49.232.131.30:99/gdyh.php?id=G_CETV-1-HQ
CETV2,http://49.232.131.30:99/gdyh.php?id=G_CETV-2
CETV3,http://49.232.131.30:99/gdyh.php?id=G_CETV-3
CETV4,http://49.232.131.30:99/gdyh.php?id=G_CETV-4
中华美食,http://49.232.131.30:99/gdyh.php?id=G_ZHONGHUAMS
天元围棋,http://49.232.131.30:99/gdyh.php?id=G_TIANYUANWQ
厦门卫视,http://49.232.131.30:99/gdyh.php?id=G_XIAMEN
国学,http://49.232.131.30:99/gdyh.php?id=G_GUOXUE
山东教育,http://49.232.131.30:99/gdyh.php?id=G_SDETV
发现之旅,http://49.232.131.30:99/gdyh.php?id=G_FAXIANZL
老故事,http://49.232.131.30:99/gdyh.php?id=G_LAOGUSHI
CGTN俄语,http://49.232.131.30:99/gdyh.php?id=G_CGTN-PYCCNN
CGTN法语,http://49.232.131.30:99/gdyh.php?id=G_CGTN-FRANCAIS
孔雀-云游动物园,http://49.232.131.30:99/gdyh.php?id=G_ZOO-301
斑马-云游动物园,http://49.232.131.30:99/gdyh.php?id=G_ZOO-801
徐闻综合,http://49.232.131.30:99/gdyh.php?id=zanjiang01
梅州综合,http://49.232.131.30:99/gdyh.php?id=meizhou1
广东电视中心,http://49.232.131.30:99/gdyh.php?id=G_GUANGDONGDS
